point_label,window_start,window_end,supplier_article,orders_total,orders_local,local_share_percent,ktr,contribution
02.03-08.03,2025-12-08,2026-03-08,YS-02,575,283,49.2174,1.25,718.75
02.03-08.03,2025-12-08,2026-03-08,YS-01,380,178,46.8421,1.25,475.0
02.03-08.03,2025-12-08,2026-03-08,6654,282,113,40.0709,1.35,380.7
02.03-08.03,2025-12-08,2026-03-08,YS-05,214,84,39.2523,1.45,310.3
02.03-08.03,2025-12-08,2026-03-08,PT-04B,231,104,45.0216,1.25,288.75
02.03-08.03,2025-12-08,2026-03-08,8803,186,63,33.871,1.55,288.3
02.03-08.03,2025-12-08,2026-03-08,TW-1025,152,58,38.1579,1.45,220.4
02.03-08.03,2025-12-08,2026-03-08,TW-1024B,149,59,39.5973,1.45,216.05
02.03-08.03,2025-12-08,2026-03-08,TW-1022,153,65,42.4837,1.35,206.55
02.03-08.03,2025-12-08,2026-03-08,TW-1034,140,56,40.0,1.35,189.0
02.03-08.03,2025-12-08,2026-03-08,TW-1028B,143,65,45.4545,1.25,178.75
02.03-08.03,2025-12-08,2026-03-08,TW-1028,132,55,41.6667,1.35,178.2
02.03-08.03,2025-12-08,2026-03-08,YS-04A,129,53,41.0853,1.35,174.15
02.03-08.03,2025-12-08,2026-03-08,8810-Scourge,124,57,45.9677,1.25,155.0
02.03-08.03,2025-12-08,2026-03-08,8805,95,35,36.8421,1.45,137.75
02.03-08.03,2025-12-08,2026-03-08,130D,105,51,48.5714,1.25,131.25
02.03-08.03,2025-12-08,2026-03-08,TS03,97,42,43.299,1.35,130.95
02.03-08.03,2025-12-08,2026-03-08,TW-1026B,107,54,50.4673,1.15,123.05
02.03-08.03,2025-12-08,2026-03-08,6632,90,38,42.2222,1.35,121.5
02.03-08.03,2025-12-08,2026-03-08,OPJF,83,37,44.5783,1.35,112.05
02.03-08.03,2025-12-08,2026-03-08,TW-1024,96,52,54.1667,1.15,110.4
02.03-08.03,2025-12-08,2026-03-08,TW-1029,71,28,39.4366,1.45,102.95
02.03-08.03,2025-12-08,2026-03-08,TW-1026,82,40,48.7805,1.25,102.5
02.03-08.03,2025-12-08,2026-03-08,blackout,89,47,52.809,1.15,102.35
02.03-08.03,2025-12-08,2026-03-08,6601,61,17,27.8689,1.65,100.65
02.03-08.03,2025-12-08,2026-03-08,8807,79,37,46.8354,1.25,98.75
02.03-08.03,2025-12-08,2026-03-08,161D,74,36,48.6486,1.25,92.5
02.03-08.03,2025-12-08,2026-03-08,TW-1033,65,27,41.5385,1.35,87.75
02.03-08.03,2025-12-08,2026-03-08,6646,60,23,38.3333,1.45,87.0
02.03-08.03,2025-12-08,2026-03-08,TW-1124,60,23,38.3333,1.45,87.0
02.03-08.03,2025-12-08,2026-03-08,TW-1031,58,22,37.931,1.45,84.1
02.03-08.03,2025-12-08,2026-03-08,EX-502,53,17,32.0755,1.55,82.15
02.03-08.03,2025-12-08,2026-03-08,YS-04B,63,29,46.0317,1.25,78.75
02.03-08.03,2025-12-08,2026-03-08,160D,50,22,44.0,1.35,67.5
02.03-08.03,2025-12-08,2026-03-08,RiD-BUMBLEBEE,63,35,55.5556,1.05,66.15
02.03-08.03,2025-12-08,2026-03-08,IRONHIDE,50,24,48.0,1.25,62.5
02.03-08.03,2025-12-08,2026-03-08,OP-01,43,17,39.5349,1.45,62.35
02.03-08.03,2025-12-08,2026-03-08,XP-14-6804,49,24,48.9796,1.25,61.25
02.03-08.03,2025-12-08,2026-03-08,M66336,33,5,15.1515,1.85,61.05
02.03-08.03,2025-12-08,2026-03-08,shockwave,58,33,56.8966,1.05,60.9
02.03-08.03,2025-12-08,2026-03-08,FG01-03,43,19,44.186,1.35,58.05
